,날짜,관리구분,품목,품종,등급,현재고,현재중량
0,22.11.14,고구마,일반고구마,소담미,종자용,576,9976.0
1,22.11.21,고구마,일반고구마,소담미,종자용,576,9976.0
2,22.11.28,고구마,일반고구마,소담미,종자용,576,9976.0
3,22.12.05,고구마,일반고구마,소담미,종자용,576,9976.0
4,22.12.12,고구마,일반고구마,소담미,종자용,576,9976.0
5,22.12.19,고구마,일반고구마,소담미,종자용,576,9976.0
6,22.12.26,고구마,일반고구마,소담미,종자용,576,9976.0
7,23.01.02,고구마,일반고구마,소담미,종자용,576,9976.0
8,23.01.09,고구마,일반고구마,소담미,종자용,576,9976.0
9,23.01.16,고구마,일반고구마,소담미,종자용,576,9976.0
10,23.01.23,고구마,일반고구마,소담미,종자용,576,9976.0
11,23.01.30,고구마,일반고구마,소담미,종자용,576,9976.0
12,23.02.06,고구마,일반고구마,소담미,종자용,576,9976.0
13,23.02.13,고구마,일반고구마,소담미,종자용,576,9976.0
14,23.02.20,고구마,일반고구마,소담미,종자용,576,9976.0
15,23.02.27,고구마,일반고구마,소담미,종자용,576,9976.0
16,23.03.06,고구마,일반고구마,소담미,종자용,576,9976.0
17,23.03.13,고구마,일반고구마,소담미,종자용,576,9976.0
18,23.03.20,고구마,일반고구마,소담미,종자용,576,9976.0
19,23.03.27,고구마,일반고구마,소담미,종자용,576,9976.0
20,23.04.03,고구마,일반고구마,소담미,종자용,576,9976.0
21,23.04.10,고구마,일반고구마,소담미,종자용,576,9976.0
22,23.04.17,고구마,일반고구마,소담미,종자용,576,9976.0
23,23.04.24,고구마,일반고구마,소담미,종자용,126,2142.0
24,23.11.06,고구마,일반고구마,실크스위트,무등급,12,230.0
25,23.11.13,고구마,일반고구마,실크스위트,무등급,12,230.0
26,23.11.20,고구마,일반고구마,실크스위트,무등급,12,230.0
27,23.11.27,고구마,일반고구마,실크스위트,무등급,12,230.0
28,23.12.04,고구마,일반고구마,실크스위트,무등급,12,230.0
29,23.12.11,고구마,일반고구마,실크스위트,무등급,12,230.0
30,23.12.18,고구마,일반고구마,실크스위트,무등급,12,230.0
31,23.12.25,고구마,일반고구마,실크스위트,무등급,12,230.0
32,24.01.01,고구마,일반고구마,실크스위트,무등급,12,230.0
33,24.01.08,고구마,일반고구마,실크스위트,무등급,12,230.0
34,24.01.15,고구마,일반고구마,실크스위트,무등급,12,230.0
35,24.01.22,고구마,일반고구마,실크스위트,무등급,12,230.0
36,24.01.29,고구마,일반고구마,실크스위트,무등급,12,230.0
37,22.11.14,고구마,일반고구마,일반,무등급,36,918.0
38,22.11.21,고구마,일반고구마,일반,무등급,36,918.0
39,22.08.08,고구마,일반고구마,진율미,가공1,36,523.0
40,22.08.15,고구마,일반고구마,진율미,가공1,96,1699.0
41,22.08.08,고구마,일반고구마,진율미,가공2,108,1641.0
42,22.08.15,고구마,일반고구마,진율미,가공2,186,3320.0
43,22.08.22,고구마,일반고구마,진율미,가공2,186,3320.0
44,22.08.29,고구마,일반고구마,진율미,가공2,186,3320.0
45,22.09.05,고구마,일반고구마,진율미,가공2,186,3320.0
46,22.09.12,고구마,일반고구마,진율미,가공2,186,3320.0
47,22.08.08,고구마,일반고구마,진율미,대,216,3446.0
48,22.08.15,고구마,일반고구마,진율미,대,540,10535.0
49,22.08.22,고구마,일반고구마,진율미,대,480,9300.0
50,23.08.07,고구마,일반고구마,진율미,대,12,253.0
51,22.08.15,고구마,일반고구마,진율미,대1,30,583.0
52,22.08.22,고구마,일반고구마,진율미,대1,60,1184.0
53,22.08.15,고구마,일반고구마,진율미,대2,120,2437.0
54,22.08.22,고구마,일반고구마,진율미,대2,210,4255.0
55,22.08.29,고구마,일반고구마,진율미,대2,180,3648.0
56,22.08.08,고구마,일반고구마,진율미,비1,50,847.0
57,22.08.15,고구마,일반고구마,진율미,비1,140,2648.0
58,22.08.22,고구마,일반고구마,진율미,비1,156,2948.0
59,22.08.15,고구마,일반고구마,진율미,비2,30,570.0
60,22.08.22,고구마,일반고구마,진율미,비2,60,1133.0
61,22.08.29,고구마,일반고구마,진율미,비2,60,1133.0
62,22.09.05,고구마,일반고구마,진율미,비2,60,1133.0
63,23.08.07,고구마,일반고구마,진율미,비2,36,670.0
64,22.08.08,고구마,일반고구마,진율미,상,432,7392.0
65,22.08.15,고구마,일반고구마,진율미,상,300,5469.0
66,22.08.22,고구마,일반고구마,진율미,상,324,6060.0
67,23.08.07,고구마,일반고구마,진율미,상,311,6144.0
68,22.08.15,고구마,일반고구마,진율미,중2,30,587.0
69,22.08.22,고구마,일반고구마,진율미,중2,122,2363.0
70,22.08.29,고구마,일반고구마,진율미,중2,30,587.0
71,23.08.07,고구마,일반고구마,진율미,중2,108,2129.0
72,22.08.15,고구마,일반고구마,진율미,중3,60,1132.0
73,23.08.07,고구마,일반고구마,진율미,중3,36,690.0
74,22.08.15,고구마,일반고구마,진율미,특,60,1236.0
75,22.08.22,고구마,일반고구마,진율미,특,120,2448.0
76,22.08.22,고구마,일반고구마,카라유타카,가공1,1,9.0
77,22.08.29,고구마,일반고구마,카라유타카,가공1,1,9.0
